date,stock_a_return,stock_b_return
2023-07-03,0.005760569836134793,-0.006822245132168574
2023-07-04,-0.001859171614054216,-0.0008214793061957599
2023-07-05,0.00757226245720831,-0.002135542276036918
2023-07-06,0.0180763582768963,0.01596859780827368
2023-07-07,-0.003009840496680032,-0.008542857987312644
2023-07-10,-0.0030096434833901667,0.00874279039674966
2023-07-11,0.018750553786088697,0.007642614603908428
2023-07-12,0.009009216749834906,0.004052021111444705
2023-07-13,-0.005833692631219425,0.0016110356797340904
2023-07-14,0.006310720523031576,-0.004198545848915584
2023-07-17,-0.0057610123137495466,-0.002440489077395777
2023-07-18,-0.005788757042843082,0.00509786934998684
2023-07-19,0.0027035472587924095,-0.009359899560773908
2023-07-20,-0.023159362935893577,-0.014919117045399374
2023-07-21,-0.020899013990156395,-0.012810130233370512
2023-07-24,-0.0069474503508916725,0.0006095448568170028
2023-07-25,-0.012353973444013084,-0.017306436386955733
2023-07-26,0.0035709679911432868,-0.006743518697789634
2023-07-27,-0.011096288906254529,-0.0041138112750598865
2023-07-28,-0.0171476444160235,-0.009924458378584147
2023-07-31,0.017387785227058646,0.013924899611362188
2023-08-01,-0.002909315605838428,0.00038861654239193046
2023-08-02,0.000610338456255086,-0.0043329361316708755
2023-08-03,-0.017296978234561482,-0.010482108884066012
2023-08-04,-0.006732592694302192,-0.0026613075729207654
2023-08-07,0.0011310710765183932,-0.0042087101726217
2023-08-08,-0.014011922929067635,0.0032520755276659527
2023-08-09,0.004308376220148064,0.006332693800486157
2023-08-10,-0.00740766427902566,-0.013524489475736501
2023-08-11,-0.0037003249975193215,0.0020056477621732834
2023-08-14,-0.007420479346752763,-0.012017107234318184
2023-08-15,0.022027338214107253,0.02092872897607224
2023-08-16,-0.000361966696855207,0.007856792365253183
2023-08-17,-0.012892531147470805,-0.014769548031691537
2023-08-18,0.009670538945238269,0.013513010166377041
2023-08-21,-0.014850123799652268,-0.0075056201712010995
2023-08-22,0.002306363140057065,0.007368875318001376
2023-08-23,-0.02371604148655731,-0.0033236781620124816
2023-08-24,-0.016138232586781164,-0.013014479622766906
2023-08-25,0.0021623348304294823,-0.0037625187692017894
2023-08-28,0.008661598959944925,-0.00016348173541721588
2023-08-29,0.0018564193742796457,-0.004411178432762316
2023-08-30,-0.0015877793886588864,-0.00165115753795995
2023-08-31,-0.0038132443470714657,-0.0002812072192335188
2023-09-01,-0.017942263884409133,-0.010622749123776257
2023-09-04,-0.008838130500736504,-0.0003964086072633854
2023-09-05,-0.00572766525151745,-0.0039183524329168655
2023-09-06,0.01248546671462699,0.01891456524034011
2023-09-07,0.003923419474821537,0.0008937957997093831
2023-09-08,-0.02135648186435281,0.004091646861080366
2023-09-11,0.0036890076327375405,0.006961976777271322
2023-09-12,-0.004820987364995798,-0.009374794050411037
2023-09-13,-0.008323064003671506,-0.01332239228899784
2023-09-14,0.007140115466090414,0.008375387732965587
2023-09-15,0.01217199426995141,0.006956156491685031
2023-09-18,0.010975361429394384,0.012680756459220711
2023-09-19,-0.010270610278671662,-0.0038767638230553484
2023-09-20,-0.003910548510214575,-0.003247186345748312
2023-09-21,0.003775161176842768,-0.003284943202688898
2023-09-22,0.01150654152546831,-0.002549351504973235
2023-09-25,-0.005950090854143479,-0.007290668262369583
2023-09-26,-0.0024279077199658057,0.004295256156288243
2023-09-27,-0.013476019688072337,-0.007934557572739209
2023-09-28,-0.014554479488968049,-0.01890830709326155
2023-09-29,0.009550309868730376,0.007897483389069537
2023-10-02,0.017074880342849874,0.014649637898096769
2023-10-03,-6.412145896400611e-05,-0.006231887074682736
2023-10-04,0.01284239477470429,0.010065752083911698
2023-10-05,0.00513963230057161,0.004005203639522126
2023-10-06,-0.006941437055261491,-0.012859798023497404
2023-10-09,0.005136747266100967,0.006100234608708659
2023-10-10,0.01925643879759163,0.017404998842891782
2023-10-11,0.0003700875306805816,0.007840419973703347
2023-10-12,0.019575723869768073,0.02107962107308197
2023-10-13,-0.030636941249076937,-0.03108954445005349
2023-10-16,0.15,0.09843522472059414
2023-10-17,0.0018445648188580546,0.004896442243661257
2023-10-18,-0.17,-0.11540349834361453
2023-10-19,0.0019011293184260278,0.004936124327040555
2023-10-20,-0.023050826975210714,0.010833541551935551
2023-10-23,-0.0018360626540501433,0.0027109897170170694
2023-10-24,0.005085350858140957,0.011508705081962861
2023-10-25,0.018534728536898193,0.01965232232028115
2023-10-26,-0.005419242619283769,0.0007662689256419481
2023-10-27,-0.00890192323471825,-0.008438230976785196
2023-10-30,-0.005221084523014438,0.0016580253773427656
2023-10-31,0.01178482541242489,0.0028396012869344196
2023-11-01,0.004745013315916214,0.0016637790739612878
2023-11-02,-0.005557122445204466,-0.00728753054644685
2023-11-03,0.006959209197360274,0.005444565413856449
2023-11-06,0.0019649305921764846,0.017578061381238103
2023-11-07,0.01242373988639467,-0.004374238427665968
2023-11-08,-0.007624637126528229,-0.0005334246559481658
2023-11-09,-0.0031319457591732183,-0.013481373129748814
2023-11-10,-0.13,-0.09430352306052603
2023-11-13,0.2,0.14762265417877155
2023-11-14,0.004353443324774913,0.003497370461010678
2023-11-15,0.003932663266158672,-0.004791349159194073
2023-11-16,0.0008613614797095307,-0.004404172929023106
2023-11-17,-0.002015045600501763,0.003346652322191497
2023-11-20,-0.01618444890460497,-0.016441680655243436
2023-11-21,-0.004247743873184308,-0.0014582105841551914
2023-11-22,-0.0033125741983212336,-0.001999799059498167
2023-11-23,-0.008827327230659427,-0.010740331494702318
2023-11-24,-0.0011354285399921096,0.014212808647282804
2023-11-27,0.0056486102817744615,0.0083914603534682
2023-11-28,0.02343423081452636,0.0022279634635652013
2023-11-29,0.0028949337539820675,0.0033316338311734405
2023-11-30,0.0038906046886731725,-0.0019090819713074953
2023-12-01,-9.335098919400651e-05,0.005901687651137764
2023-12-04,-0.0222252545835885,-0.021105323377540855
2023-12-05,0.00048183349460939747,-0.0004658716440417149
2023-12-06,0.0015227625192923173,0.0046008447163678225
2023-12-07,0.030358905349823433,0.027311520104067254
2023-12-08,-0.0015083315773734706,-0.009457906953551863
2023-12-11,0.00441856810800335,0.0007514890247157058
2023-12-12,0.0003834587635370803,-0.0030561960436507373
2023-12-13,-0.013224136451434384,-0.013830200144020052
2023-12-14,0.014513873774180248,0.02251789132389385
2023-12-15,0.00982319639224129,0.009711109451295592
2023-12-18,0.010292383364516563,-0.001621519325183722
2023-12-19,-0.010112649457536867,-0.0006538209908923736
2023-12-20,0.01763353173123319,0.027198565590951664
2023-12-21,-0.016022212753507372,-0.003988292103597132
2023-12-22,0.007842285125603244,-0.005145990173755824
2023-12-25,0.02708546750971974,0.015570188746740057
2023-12-26,-0.01108643590156826,0.0011078729132085775
2023-12-27,-0.0059955727552332624,-0.00915058718799475
2023-12-28,0.0019958163810516946,0.004503807463759785
2023-12-29,-0.005241707849394391,0.0017532428794292845
